word,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,one,two,three,four,five,one_val,two_val,three_val,four_val,five_val,two_match,three_match,four_match,five_match,word_score,popularity_score
admin,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,a,d,m,i,n,0.082313053,0.041062347,0.029610096,0.058052364,0.045884347,1,1,1,1,0.2569,3.92
admit,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,a,d,m,i,t,0.082313053,0.041062347,0.029610096,0.058052364,0.054548879,1,1,1,1,0.2656,4.58
admix,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,a,d,m,i,x,0.082313053,0.041062347,0.029610096,0.058052364,0.005236391,1,1,1,1,0.2163,1
adobe,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,a,d,o,b,e,0.082313053,0.041062347,0.063514786,0.026294971,0.09949143,1,1,1,1,0.3127,3.53
adobo,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,a,d,o,b,o,0.082313053,0.041062347,0.063514786,0.026294971,0.063514786,1,1,1,0,0.2132,2.14
adopt,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,a,d,o,p,t,0.082313053,0.041062347,0.063514786,0.032774534,0.054548879,1,1,1,1,0.2742,4.19
adore,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,a,d,o,r,e,0.082313053,0.041062347,0.063514786,0.067281974,0.09949143,1,1,1,1,0.3537,3.7
adorn,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,a,d,o,r,n,0.082313053,0.041062347,0.063514786,0.067281974,0.045884347,1,1,1,1,0.3001,3.01
adult,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,a,d,u,l,t,0.082313053,0.041062347,0.039969862,0.053870785,0.054548879,1,1,1,1,0.2718,4.8
adzes,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,a,d,z,e,s,0.082313053,0.041062347,0.004520625,0.09949143,0.098398945,1,1,1,1,0.3258,1.46
aegis,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,a,e,g,i,s,0.082313053,0.09949143,0.024185346,0.058052364,0.098398945,1,1,1,1,0.3624,3.06
aeons,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,a,e,o,n,s,0.082313053,0.09949143,0.063514786,0.045884347,0.098398945,1,1,1,1,0.3896,2.24
aerie,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,a,e,r,i,e,0.082313053,0.09949143,0.067281974,0.058052364,0.09949143,1,1,1,0,0.3071,2.17
affix,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,a,f,f,i,x,0.082313053,0.018722923,0.018722923,0.058052364,0.005236391,1,0,1,1,0.1643,2.63
afire,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,a,f,i,r,e,0.082313053,0.018722923,0.058052364,0.067281974,0.09949143,1,1,1,1,0.3259,2.46
afoot,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,a,f,o,o,t,0.082313053,0.018722923,0.063514786,0.063514786,0.054548879,1,1,0,1,0.2191,2.89
afore,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,a,f,o,r,e,0.082313053,0.018722923,0.063514786,0.067281974,0.09949143,1,1,1,1,0.3313,2.42
afoul,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,a,f,o,u,l,0.082313053,0.018722923,0.063514786,0.039969862,0.053870785,1,1,1,1,0.2584,2.63
after,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,a,f,t,e,r,0.082313053,0.018722923,0.054548879,0.09949143,0.067281974,1,1,1,1,0.3224,6.11
again,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,a,g,a,i,n,0.082313053,0.024185346,0.082313053,0.058052364,0.045884347,1,0,1,1,0.2104,5.7
agape,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,a,g,a,p,e,0.082313053,0.024185346,0.082313053,0.032774534,0.09949143,1,0,1,1,0.2388,2.65
agars,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,a,g,a,r,s,0.082313053,0.024185346,0.082313053,0.067281974,0.098398945,1,0,1,1,0.2722,1
agate,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,a,g,a,t,e,0.082313053,0.024185346,0.082313053,0.054548879,0.09949143,1,0,1,1,0.2605,2.81
agave,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,a,g,a,v,e,0.082313053,0.024185346,0.082313053,0.011602938,0.09949143,1,0,1,1,0.2176,2.74
agent,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,a,g,e,n,t,0.082313053,0.024185346,0.09949143,0.045884347,0.054548879,1,1,1,1,0.3064,4.81
agile,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a,g,i,l,e,0.082313053,0.024185346,0.058052364,0.053870785,0.09949143,1,1,1,1,0.3179,3.41
aging,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,a,g,i,n,g,0.082313053,0.024185346,0.058052364,0.045884347,0.024185346,1,1,1,0,0.2104,4.04
agley,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,a,g,l,e,y,0.082313053,0.024185346,0.053870785,0.09949143,0.032586174,1,1,1,1,0.2924,1
aglow,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,a,g,l,o,w,0.082313053,0.024185346,0.053870785,0.063514786,0.018346205,1,1,1,1,0.2422,2.21
agone,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,a,g,o,n,e,0.082313053,0.024185346,0.063514786,0.045884347,0.09949143,1,1,1,1,0.3154,1.56
agony,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,a,g,o,n,y,0.082313053,0.024185346,0.063514786,0.045884347,0.032586174,1,1,1,1,0.2485,3.6
agora,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,a,g,o,r,a,0.082313053,0.024185346,0.063514786,0.067281974,0.082313053,1,1,1,0,0.2373,2.72
agree,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,a,g,r,e,e,0.082313053,0.024185346,0.067281974,0.09949143,0.09949143,1,1,1,0,0.2733,4.97
agues,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,a,g,u,e,s,0.082313053,0.024185346,0.039969862,0.09949143,0.098398945,1,1,1,1,0.3444,1
ahead,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a,h,e,a,d,0.082313053,0.029572424,0.09949143,0.082313053,0.041062347,1,1,0,1,0.2524,5.01
ahold,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,a,h,o,l,d,0.082313053,0.029572424,0.063514786,0.053870785,0.041062347,1,1,1,1,0.2703,2.86
ahoys,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,a,h,o,y,s,0.082313053,0.029572424,0.063514786,0.032586174,0.098398945,1,1,1,1,0.3064,1
aided,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a,i,d,e,d,0.082313053,0.058052364,0.041062347,0.09949143,0.041062347,1,1,1,0,0.2809,3.74
aider,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,a,i,d,e,r,0.082313053,0.058052364,0.041062347,0.09949143,0.067281974,1,1,1,1,0.3482,1.94
aides,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,a,i,d,e,s,0.082313053,0.058052364,0.041062347,0.09949143,0.098398945,1,1,1,1,0.3793,3.41
ailed,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a,i,l,e,d,0.082313053,0.058052364,0.053870785,0.09949143,0.041062347,1,1,1,1,0.3348,1.64
aimed,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,a,i,m,e,d,0.082313053,0.058052364,0.029610096,0.09949143,0.041062347,1,1,1,1,0.3105,4.25
aimer,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,a,i,m,e,r,0.082313053,0.058052364,0.029610096,0.09949143,0.067281974,1,1,1,1,0.3367,2.06
aired,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,a,i,r,e,d,0.082313053,0.058052364,0.067281974,0.09949143,0.041062347,1,1,1,1,0.3482,3.85
airer,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,a,i,r,e,r,0.082313053,0.058052364,0.067281974,0.09949143,0.067281974,1,1,1,0,0.3071,1.01
aisle,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,a,i,s,l,e,0.082313053,0.058052364,0.098398945,0.053870785,0.09949143,1,1,1,1,0.3921,3.72
aitch,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,a,i,t,c,h,0.082313053,0.058052364,0.054548879,0.035524581,0.029572424,1,1,1,1,0.26,1.64
ajuga,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,a,j,u,g,a,0.082313053,0.003428141,0.039969862,0.024185346,0.082313053,1,1,1,0,0.1499,1.15
alack,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a,l,a,c,k,0.082313053,0.053870785,0.082313053,0.035524581,0.021171595,1,0,1,1,0.1929,1.78
alarm,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,a,l,a,r,m,0.082313053,0.053870785,0.082313053,0.067281974,0.029610096,1,0,1,1,0.2331,4.28
album,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,a,l,b,u,m,0.082313053,0.053870785,0.026294971,0.039969862,0.029610096,1,1,1,1,0.2321,5.02
alder,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,a,l,d,e,r,0.082313053,0.053870785,0.041062347,0.09949143,0.067281974,1,1,1,1,0.344,2.97
aleck,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a,l,e,c,k,0.082313053,0.053870785,0.09949143,0.035524581,0.021171595,1,1,1,1,0.2924,2.17
aleph,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,a,l,e,p,h,0.082313053,0.053870785,0.09949143,0.032774534,0.029572424,1,1,1,1,0.298,2.39
alert,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,a,l,e,r,t,0.082313053,0.053870785,0.09949143,0.067281974,0.054548879,1,1,1,1,0.3575,4.33
algae,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a,l,g,a,e,0.082313053,0.053870785,0.024185346,0.082313053,0.09949143,1,1,0,1,0.2599,3.54
algal,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a,l,g,a,l,0.082313053,0.053870785,0.024185346,0.082313053,0.053870785,1,1,0,0,0.1604,2.69
algin,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,a,l,g,i,n,0.082313053,0.053870785,0.024185346,0.058052364,0.045884347,1,1,1,1,0.2643,1
alias,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,a,l,i,a,s,0.082313053,0.053870785,0.058052364,0.082313053,0.098398945,1,1,0,1,0.2926,3.46
alibi,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a,l,i,b,i,0.082313053,0.053870785,0.058052364,0.026294971,0.058052364,1,1,1,0,0.2205,3.1
alien,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,a,l,i,e,n,0.082313053,0.053870785,0.058052364,0.09949143,0.045884347,1,1,1,1,0.3396,4.29
align,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,a,l,i,g,n,0.082313053,0.053870785,0.058052364,0.024185346,0.045884347,1,1,1,1,0.2643,3.63
alike,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a,l,i,k,e,0.082313053,0.053870785,0.058052364,0.021171595,0.09949143,1,1,1,1,0.3149,4.13
alive,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,a,l,i,v,e,0.082313053,0.053870785,0.058052364,0.011602938,0.09949143,1,1,1,1,0.3053,4.76
alkyd,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,a,l,k,y,d,0.082313053,0.053870785,0.021171595,0.032586174,0.041062347,1,1,1,1,0.231,1.77
alkyl,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,a,l,k,y,l,0.082313053,0.053870785,0.021171595,0.032586174,0.053870785,1,1,1,0,0.1899,2.81
allay,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,a,l,l,a,y,0.082313053,0.053870785,0.053870785,0.082313053,0.032586174,1,0,0,1,0.1688,2.69
alley,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,a,l,l,e,y,0.082313053,0.053870785,0.053870785,0.09949143,0.032586174,1,0,1,1,0.2683,3.87
allot,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,a,l,l,o,t,0.082313053,0.053870785,0.053870785,0.063514786,0.054548879,1,0,1,1,0.2542,2.79
